,gisjoin,lat_tract,long_tract,population,adj_radiuspop_5,urbanindex,FIPS,total_pop
3193,G0500830950100,35.28412,-93.47639,4228,644.8809,6.469066,05083,21802
3199,G0500850020101,35.03857,-92.04271,8060,10273.0,9.237274,05085,75727
3215,G0500870960100,36.20857,-93.75198,3876,1002.432,6.910184,05087,15907
3219,G0500890960100,36.15066,-92.65621,4645,766.7909,6.642214,05089,16374
3223,G0500910020100,33.45819,-94.0361,4366,56286.0,10.9382,05091,43760
3235,G0500930010100,35.92426,-89.9084,1575,24589.0,10.11005,05093,43534
3247,G0500950950100,34.91306,-91.23975,3315,300.8837,5.706724,05095,7420
3250,G0500970953000,34.60229,-93.50553,3220,438.6464,6.083694,05097,9059
3253,G0500990090100,33.6778,-93.2586,2509,549.6434,6.30927,05099,8528
3256,G0501010180100,36.06108,-93.19732,3950,816.6005,6.70515,05101,7898
3258,G0501030950100,33.70927,-92.75069,5008,755.4268,6.627283,05103,24378
3264,G0501050952700,34.99599,-92.6711,5165,899.6205,6.801973,05105,10320
3267,G0501070480100,34.58807,-90.61599,3122,10376.0,9.247251,05107,19518
3273,G0501090953300,34.21594,-93.54946,4003,471.2855,6.155464,05109,10893
3276,G0501110490100,35.54973,-90.37524,4512,5344.0,8.58373,05111,24098
3283,G0501130950100,34.56255,-94.07062,3722,880.3586,6.780329,05113,20212
3289,G0501150950700,35.5812,-93.01096,3492,342.0275,5.834891,05115,63372
3300,G0501170460100,34.97195,-91.55576,3556,491.5199,6.197503,05117,8309
3303,G0501190000200,34.73199,-92.22767,946,64844.0,11.07974,05119,388689
3397,G0501210960100,36.32851,-90.87292,4108,1491.466,7.307515,05121,17514
3401,G0501230960100,35.02954,-90.53305,2811,464.1433,6.140193,05123,26688
3407,G0501250010101,34.56901,-92.58135,4215,40143.0,10.6002,05125,116252
3428,G0501270950100,34.92871,-94.13012,4618,7229.0,8.885856,05127,10584
3431,G0501290970100,35.93225,-92.8281,1752,349.5847,5.856746,05129,7925
3460,G0501330080100,34.09653,-94.2336,3526,1251.084,7.131766,05133,17206
3464,G0501350470100,36.36798,-91.3642,1904,1050.637,6.957152,05135,17041
3468,G0501370950100,35.88412,-92.25779,3634,810.6581,6.697846,05137,12443
3471,G0501390950100,33.14147,-92.29559,3098,407.037,6.008904,05139,40022
